Type,numbers,time,author,site,latitude_N,longitude_W,precipitation_mm,temperature_C,altitude,N_addition_type,N_addition_levels_kg_per_ha_per_yr,mesh_size,soil_fauna2,decomposition_time_days,litter_type,mass_loss,Mse,Mn,ind,Ise,In,Shannon,Sse,Sn
A,1,2014,Sandra Barantal,Amazonian rainforest ,5.18,-52.53,3041,25.7,,CO(NH_2)_2,0,0.068,,158,single,31.675,1.092,30,,,,,,
A,1,2014,Sandra Barantal,Amazonian rainforest ,5.18,-52.53,3041,25.7,,CO(NH_2)_2,0,8,,158,single,44.194,3.576,30,,,,,,
A,1,2014,Sandra Barantal,Amazonian rainforest ,5.18,-52.53,3041,25.7,,CO(NH_2)_2,130,0.068,,158,single,38.031,2.387,20,,,,,,
A,1,2014,Sandra Barantal,Amazonian rainforest ,5.18,-52.53,3041,25.7,,CO(NH_2)_2,130,8,,158,single,42.334,3.181,28,,,,,,
A,1,2014,Sandra Barantal,Amazonian rainforest ,5.18,-52.53,3041,25.7,,CO(NH_2)_2,0,0.068,,158,mixture,35.094,0.673,70,,,,,,
A,1,2014,Sandra Barantal,Amazonian rainforest ,5.18,-52.53,3041,25.7,,CO(NH_2)_2,0,8,,158,mixture,52.143,1.555,70,,,,,,
A,1,2014,Sandra Barantal,Amazonian rainforest ,5.18,-52.53,3041,25.7,,CO(NH_2)_2,130,0.068,,158,mixture,36.317,0.517,70,,,,,,
A,1,2014,Sandra Barantal,Amazonian rainforest ,5.18,-52.53,3041,25.7,,CO(NH_2)_2,130,8,,158,mixture,49.534,1.709,70,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,0,0.2,,75,single,31.607,2.339,18,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,0,2,,75,single,33.744,2.389,18,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,0,5,,75,single,40.573,4.423,18,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,100,0.2,,75,single,34.636,1.329,18,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,100,2,,75,single,37.032,2.471,18,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,100,5,,75,single,43.204,3.275,18,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,0,0.2,,75,mixture,32.077,0.824,64,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,0,2,,75,mixture,33.429,0.923,64,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,0,5,,75,mixture,39.792,1.406,64,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,100,0.2,,75,mixture,33.279,0.85,64,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,100,2,,75,mixture,36.751,0.936,64,,,,,,
A,2,2020,No¨¦mie A. Pichon,M¨¹nchenbuchsee ,47.03,7.46,1051,9.2,,CO(NH_2)_2,100,5,,75,mixture,41.35,1.577,64,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,0,0.01,,180,single,17.614,1.624,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,0,2,,180,single,22.893,1.624,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,30,0.01,,180,single,19.239,1.218,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,30,2,,180,single,22.487,1.218,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,50,0.01,,180,single,19.895,1.619,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,50,2,,180,single,23.941,1.213,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,100,0.01,,180,single,17.68,1.618,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,100,2,,180,single,24.559,1.619,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,0,0.01,,365,single,22.487,1.624,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,0,2,,365,single,33.858,3.249,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,30,0.01,,365,single,22.893,1.218,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,30,2,,365,single,36.294,4.061,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,50,0.01,,365,single,24.407,0.809,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,50,2,,365,single,36.949,1.214,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,100,0.01,,365,single,21.788,2.023,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,100,2,,365,single,33.118,3.237,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,0,0.01,,450,single,25.736,2.437,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,0,2,,450,single,37.513,3.249,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,30,0.01,,450,single,27.36,0.812,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,30,2,,450,single,39.949,1.624,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,50,0.01,,450,single,28.079,0.81,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,50,2,,450,single,42.241,6.069,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,100,0.01,,450,single,26.674,1.619,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,100,2,,450,single,35.171,1.618,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,0,0.01,,540,single,31.421,1.218,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,0,2,,540,single,48.883,2.843,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,30,0.01,,540,single,33.858,3.249,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,30,2,,540,single,47.665,6.091,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,50,0.01,,540,single,31.346,1.214,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,50,2,,540,single,52.792,4.856,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,100,0.01,,540,single,30.751,2.428,6,,,,,,
A,3,2021,Liang Zhiwei,"Ulanqab City, Inner Mongolia",41.47,111.53,280,3.4,1450,NH_4NO_3,100,2,,540,single,45.317,2.428,6,,,,,,
A,4,2016,Weidong Zhang,"Ulanqab City, Inner Mongolia",26.75,109.67,1200,16.5,,N_aNO_3,0,0.1,,365,single,65.699,4.272,36,,,,,,
A,4,2016,Weidong Zhang,"Ulanqab City, Inner Mongolia",26.75,109.67,1200,16.5,,N_aNO_3,0,2,,365,single,75.117,3.869,36,,,,,,
A,4,2016,Weidong Zhang,"Ulanqab City, Inner Mongolia",26.75,109.67,1200,16.5,,N_aNO_3,56,0.1,,365,single,63.977,3.33,36,,,,,,
A,4,2016,Weidong Zhang,"Ulanqab City, Inner Mongolia",26.75,109.67,1200,16.5,,N_aNO_3,56,2,,365,single,69.425,4.754,36,,,,,,
A,4,2016,Weidong Zhang,"Ulanqab City, Inner Mongolia",26.75,109.67,1200,16.5,,N_aNO_3,224,0.1,,365,single,58.355,2.893,36,,,,,,
A,4,2016,Weidong Zhang,"Ulanqab City, Inner Mongolia",26.75,109.67,1200,16.5,,N_aNO_3,224,2,,365,single,66.311,3.839,36,,,,,,
